id,name,role,phone
693, 林義泰,學生,09 1982 0294
694, 黃彥均,學生,09 4307 2392
695, 曾函怡,學生,09 1719 7438
696, 陸侑邦,學生,09 3837 0788
697, 杜玉梅,學生,09 1454 4022
698, 陳雅凌,學生,09 0059 9477
699, 涂柏翔,學生,09 1711 8943
700, 翁惠茹,學生,09 9783 4645
701, 楊以生,學生,09 1648 2243
702, 陳佳雯,學生,09 2856 8761
703, 楊寶綸,學生,09 4461 0681
704, 黃怡如,學生,09 8784 3878
705, 黃建雄,學生,09 3808 5619
706, 柯雅慧,學生,09 6616 4143
707, 郭政宏,學生,09 3879 1672
708, 張志映,學生,09 5701 8077
709, 謝安容,學生,09 2997 2078
710, 陳佳穎,學生,09 7902 1886
711, 陳盈善,學生,09 2833 8777
712, 吳昕雨,學生,09 4350 6682
713, 陳崇明,學生,09 0464 0753
714, 黃慧諭,學生,09 0889 9501
715, 陳俐峰,學生,09 5441 3040
716, 曾韻婷,學生,09 3437 6233
717, 陳郁雯,學生,09 6005 8983
718, 陳柏萱,學生,09 6875 7131
719, 陳又春,學生,09 7773 2327
720, 葉聖民,學生,09 3564 0185
721, 謝佩亨,學生,09 6695 8655
722, 羅辛琪,學生,09 0175 2130
723, 酆郁涵,學生,09 5706 5475
724, 蘇美惠,學生,09 6840 9906
725, 楊卉琬,學生,09 2999 2204
726, 張鈺婷,學生,09 3608 0939
727, 李佳欣,學生,09 7278 6895
728, 黃竹惟,學生,09 4141 9708
729, 洪培倫,學生,09 3109 8858
730, 黃韻夫,學生,09 9645 8131
731, 沈新亦,學生,09 9313 5064
732, 彭必斌,學生,09 0057 9695
733, 蕭志鴻,學生,09 9170 4621
734, 陳芷吉,學生,09 6114 6639
735, 賴琳汝,學生,09 5217 4946
736, 李奎芝,學生,09 4640 4289
737, 林慧珊,學生,09 7570 9981
738, 陳怡伶,學生,09 5207 6697
739, 羅中邦,學生,09 5353 1390
740, 楊珮揚,學生,09 8171 1108
741, 李婉辛,學生,09 4820 8351
742, 張俊明,學生,09 7950 5934
743, 林聖臻,學生,09 7661 4210
744, 趙家慶,學生,09 0793 9404
745, 王馥蕙,學生,09 1651 0818
746, 林依孜,學生,09 1401 5931
747, 童克俊,學生,09 9991 3831
748, 王思甫,學生,09 2393 3337
749, 楊淑誠,學生,09 8549 0289
750, 李浩旭,學生,09 0171 6553
751, 洪偉茂,學生,09 1131 6378
752, 戴志宏,學生,09 3593 8740
753, 張凱君,學生,09 6202 5394
754, 黃淑玲,學生,09 7014 6454
755, 許怡孜,學生,09 1231 0350
756, 李國堅,學生,09 2530 0715
757, 李俊緯,學生,09 8326 4296
758, 林佩喜,學生,09 3571 6097
759, 蔣瑞佳,學生,09 0961 0932
760, 趙志偉,學生,09 3821 8716
761, 陳靜如,學生,09 1778 1109
762, 江佳玫,學生,09 7031 1882
763, 陳昕松,學生,09 4596 2853
764, 吳馨儀,學生,09 2682 7712
765, 張昱廷,學生,09 3546 6325
766, 許伊緯,學生,09 2066 6906
767, 胡雅玲,學生,09 9431 9197
768, 黃名光,學生,09 4316 0231
769, 鄭韋成,學生,09 6374 6647
770, 蔡明珍,學生,09 2357 3901
771, 車淑芬,學生,09 4197 6507
772, 蔡佩琴,學生,09 5951 0112
773, 林怡航,學生,09 9804 8715
774, 楊智迪,學生,09 8801 0858
775, 許雅萍,學生,09 1022 8564
776, 周瑋婷,學生,09 1199 0319
777, 林季云,學生,09 5126 5288
778, 黃于容,學生,09 3263 8233
779, 黃惠娟,學生,09 7912 5680
780, 李易紹,學生,09 6613 2650
781, 李信宏,學生,09 7180 3235
782, 李嘉翰,學生,09 4832 3895
783, 吳偉成,學生,09 4555 6373
784, 林雨來,學生,09 9752 1189
785, 王科容,學生,09 2969 3963
786, 林家豪,學生,09 0781 1182
787, 黃美玉,學生,09 9615 8660
788, 涂雅玲,學生,09 9762 8811
789, 林淑念,學生,09 5822 8097
790, 林士如,學生,09 8129 4969
791, 林哲豪,學生,09 3858 2908
792, 賴怡年,學生,09 0999 7438
793, 黃雅雯,學生,09 3353 2209
794, 宗景翔,學生,09 0974 3655
795, 吳佐發,學生,09 9616 9005
796, 張淑真,學生,09 2892 0414
797, 劉育意,學生,09 0040 5594
798, 黃淑萍,學生,09 4316 7134
799, 吳勝傑,學生,09 9608 0650
800, 高智翔,學生,09 8067 9365
801, 蔡巧利,學生,09 4022 2556
802, 林怡亦,學生,09 4006 2117
803, 張方夢,學生,09 2366 3288
804, 鄭玟行,學生,09 3958 6412
805, 黃冠皓,學生,09 8519 9512
806, 鄭木哲,學生,09 3132 9260
807, 葉怡蘋,學生,09 5421 6731
808, 陳世冰,學生,09 2702 5879
809, 陳舒婷,學生,09 0803 2482
810, 陳紹霖,學生,09 5002 9837
811, 俞智翔,學生,09 4977 1256
812, 陳函芝,學生,09 2185 8385
813, 陳正華,學生,09 3227 6043
814, 陳盈淳,學生,09 0982 3524
815, 鐘人豪,學生,09 3951 9249
816, 黃尚仰,學生,09 6543 6731
817, 楊家豪,學生,09 0601 5251
818, 孫一南,學生,09 5537 9380
819, 許惠裕,學生,09 4543 4671
820, 朱曉薇,學生,09 5591 9643
821, 詹佳伶,學生,09 5196 9879
822, 王振瑋,學生,09 5812 9994
823, 陳豪峰,學生,09 3967 0157
824, 黃建志,學生,09 4404 4151
825, 黃旺威,學生,09 9653 0909
826, 陳淑娟,學生,09 9664 1803
827, 趙偉傑,學生,09 2374 4589
828, 謝依宜,學生,09 7703 7486
829, 黃偉名,學生,09 0116 9993
830, 王竹亦,學生,09 0715 9805
831, 林仁豪,學生,09 8640 9382
832, 陳姿君,學生,09 7721 3465
833, 蔡皓薇,學生,09 5374 5706
834, 吳明貞,學生,09 6514 7367
835, 胡泰孝,學生,09 4817 5859
836, 趙可人,學生,09 5007 4915
837, 楊智珮,學生,09 7044 3229
838, 陳耀姍,學生,09 1240 9870
839, 林秀彥,學生,09 4104 8232
840, 林惠雯,學生,09 3208 8689
841, 楊華玟,學生,09 9510 8865
842, 楊百夢,學生,09 9181 9268
843, 劉逸惠,學生,09 9915 9988
844, 張哲生,學生,09 5431 7626
845, 林俊玫,學生,09 5265 5278
846, 陳俊岑,學生,09 3097 9394
847, 謝佩蓉,學生,09 2943 7830
848, 楊宗映,學生,09 2522 2588
849, 吳京宜,學生,09 4861 1665
850, 鄭妤名,學生,09 4905 9537
851, 廖珮筠,教師,09 9746 6900
852, 江于真,教師,09 8818 2653
853, 林立貴,教師,09 4662 8769
854, 張綺妍,教師,09 2298 0173
855, 劉昕治,教師,09 7906 6038
856, 許祖潔,教師,09 7508 2995
857, 周雅萍,教師,09 0122 1279
858, 陳慧昆,教師,09 7063 1849
859, 許家豪,教師,09 4427 1870
860, 江火芬,教師,09 2888 0151
861, 林宛玲,教師,09 6983 5131
862, 張火瑩,教師,09 8613 5508
863, 吳佳盈,教師,09 7849 7952
864, 王亞泰,教師,09 8089 0451
865, 陳致季,教師,09 4665 9713
866, 楊惠美,教師,09 1378 2450
867, 毛欣怡,教師,09 6123 7653
868, 賴雅婷,教師,09 4624 9579
869, 蔣曜宇,教師,09 4933 9161
870, 葉宜潔,教師,09 7362 3879
871, 楊啟財,教師,09 6706 3769
872, 郭淑珍,教師,09 8284 3359
873, 張秋燕,教師,09 8446 3458
874, 洪駿士,教師,09 6319 7462
875, 趙育如,教師,09 0206 7072
876, 賴偉哲,教師,09 4910 3473
877, 鄭翠能,教師,09 8831 2351
878, 陳信誠,教師,09 6368 3148
879, 王明郁,教師,09 6198 5852
880, 鄭惠吟,教師,09 7148 4597
881, 黃皓銘,教師,09 2413 8987
882, 陳育德,教師,09 9728 3354
883, 宋郁翔,教師,09 6530 3443
884, 蘇彥儒,教師,09 6784 6038
885, 陳俊州,教師,09 8954 1271
886, 黃宜珊,教師,09 0994 3158
887, 杜詩涵,教師,09 0447 4448
888, 林怡君,教師,09 6202 9144
889, 江健豪,教師,09 9183 9839
890, 蔡于婷,教師,09 2567 9922
891, 林惠玲,教師,09 2887 0949
892, 黃柏善,教師,09 0223 8321
893, 郭昱樺,教師,09 1922 4401
894, 吳佳怡,教師,09 9025 8537
895, 黃育如,教師,09 7671 5789
896, 王怡龍,教師,09 1996 2481
897, 靳惠玲,教師,09 7099 1135
898, 楊延奇,教師,09 4712 7037
899, 孫緯雄,教師,09 3341 4743
900, 簡明宏,教師,09 4428 1153
901, 許禎新,教師,09 7051 2655
902, 蔡威元,教師,09 2265 2193
903, 吳志興,教師,09 5158 1301
904, 吳淑元,教師,09 9358 8941
905, 於志峰,教師,09 1108 3714
906, 郭憶星,教師,09 8000 2037
907, 邱威廷,教師,09 8385 4650
908, 王文光,教師,09 3473 3282
909, 劉坤春,教師,09 8011 7547
910, 余仰亦,教師,09 0424 4384
911, 楊怡璇,教師,09 0232 5413
912, 許育元,教師,09 1624 8975
913, 陳憲美,教師,09 7750 2188
914, 謝麗珠,教師,09 8816 0056
915, 楊晏芝,教師,09 9467 5703
916, 陳婉菁,教師,09 1348 3557
917, 甘為興,教師,09 0707 4309
918, 謝惠興,教師,09 4075 8992
919, 王筱瑋,教師,09 3771 4948
920, 唐婉玲,教師,09 8003 4593
921, 陳勇雅,教師,09 3854 7558
922, 林建中,教師,09 0401 6635
923, 魏世昌,教師,09 4822 7044
924, 葉國偉,教師,09 2292 2967
925, 蔡守旭,教師,09 6708 5517
926, 張永柏,教師,09 2054 0571
927, 洪永雲,教師,09 1642 7966
928, 曾憶玟,教師,09 4131 1100
929, 林欣順,教師,09 0421 9710
930, 謝意典,教師,09 8359 6636
931, 黃有潔,教師,09 3725 4756
932, 葉瑋倫,教師,09 0183 5659
933, 王力琬,教師,09 6561 4173
934, 金崇彥,教師,09 0728 2015
935, 林憶聿,教師,09 3356 8487
936, 賴慧君,教師,09 6615 0280
937, 李家偉,教師,09 3123 4343
938, 王柏鈞,教師,09 7812 7760
939, 黃亭君,教師,09 8013 8177
940, 鈕得香,教師,09 7937 4190
941, 林怡盛,教師,09 4639 0464
942, 張宗昕,教師,09 6804 8633
943, 鄭芷妤,教師,09 1137 7072
944, 王辛惟,教師,09 0391 9807
945, 吳佳琳,教師,09 4488 2770
946, 鄭雅婷,教師,09 5931 8327
947, 黃惠能,教師,09 5596 0379
948, 廖俊傑,教師,09 3734 3455
949, 劉幸輝,教師,09 0038 9693
950, 馮韻翰,教師,09 5387 0641
951, 蔡志銘,教師,09 6243 1224
952, 趙孟璇,教師,09 5303 9177
953, 陳麗凱,教師,09 8557 5473
954, 宋偉倫,教師,09 2200 4261
955, 陳志宏,教師,09 5766 5493
956, 杜馨彬,教師,09 5004 4420
957, 吳書強,教師,09 0227 3699
958, 張逸凡,教師,09 8946 1684
959, 陳家賢,教師,09 3579 7165
960, 方詠宇,教師,09 9155 0686
961, 張延鴻,教師,09 7043 0567
962, 吳宛蓉,教師,09 1138 0027
963, 孫雅萍,教師,09 7857 3531
964, 侯東禾,教師,09 6473 5946
965, 許靖俐,教師,09 1554 2807
966, 林彥安,教師,09 4220 6289
967, 周竣合,教師,09 0544 9810
968, 王韻桓,教師,09 6030 2255
969, 陳政婷,教師,09 0287 8491
970, 黃玟紫,教師,09 0868 9180
971, 王益水,教師,09 6439 9138
972, 袁冠勳,教師,09 2508 2296
973, 許詩涵,教師,09 5712 9405
974, 翁芷忠,教師,09 9482 5709
975, 黃儒谷,教師,09 4628 1294
976, 陳炳妏,教師,09 3876 3001
977, 潘于倫,教師,09 8924 2171
978, 吉美玲,教師,09 2744 3892
979, 鐘鈺偉,教師,09 0840 2830
980, 黃雅淳,教師,09 7667 6340
981, 黃俊翔,教師,09 5226 0274
982, 謝彥廷,教師,09 9394 5610
983, 鄭博芳,教師,09 8826 2227
984, 李人宏,遊客,09 8812 5995
985, 吳佳慈,遊客,09 2812 1399
986, 金祖星,遊客,09 2440 5182
987, 黎慧君,遊客,09 6961 0213
988, 高宗翰,遊客,09 2143 4991
989, 李淑慧,遊客,09 9248 9827
990, 羊靖成,遊客,09 5303 0915
991, 林國航,遊客,09 5170 7950
992, 王建茜,遊客,09 6264 3670
993, 王仁傑,遊客,09 7889 3815
994, 高建豪,遊客,09 6405 4642
995, 陳延岑,遊客,09 1397 3497
996, 鄭珊祥,遊客,09 5296 5098
997, 邱信豪,遊客,09 0622 3178
998, 郭朝任,遊客,09 7655 9298
999, 簡可信,遊客,09 8161 4023
1000, 楊淑谷,遊客,09 1370 9002
